rattle,latter
react,crate,cater
reacted,created
reacting,creating,catering
reaction,creation
reactive,creative
reactor,creator
reacts,caters,crates
read,dear,dare
reads,dares,dears
ready,rayed
real,earl,lear
ream,mare
reap,rape,pear,pare
rear,rare
reared,reader
rearing,angrier,earring
rebate,berate,beater
rebuild,builder
recall,caller,cellar
recant,canter,nectar
recanted,decanter
recap,caper,pacer
recent,center,centre
recheck,checker
recipe,pierce
recipes,precise
recital,article
recitals,articles
reclaim,miracle
recount,counter
rectal,cartel
rectify,certify
redial,derail
redid,dried
redo,doer
redress,dresser
ree,ere
reed,deer
reef,free
reefs,frees
reeling,leering
refer,freer
refill,filler
reform,former
refresh,fresher
regal,glare,large,lager
regard,grader
regards,graders
regina,regain
region,ignore
reheat,heater
relapse,pleaser
related,alerted,altered
relating,alerting,integral,altering
relation,oriental
relay,early,layer,leary
reload,ordeal
remain,marine,airmen
remains,marines
remark,marker
remarks,markers
remote,meteor
renal,learn
rename,meaner
rental,learnt,antler
reopen,opener
rep,per
repaid,diaper,paired
repaint,painter
replay,pearly,player
report,porter
reread,reared,reader
res,ers
rescue,recuse
rescued,reduces
reseda,erased
resent,enters
reset,ester
reshoot,hooters
resides,desires
resign,reigns
resigned,designer
resource,recourse
rested,desert
restored,resorted
restrict,critters
result,luster
retina,retain
retinal,latrine
reveal,leaver
reverse,reserve
reversed,reserved
revised,derives
reward,drawer
rewards,drawers
ribbed,bribed
ribs,bris
rickey,crikey
ride,dire
rider,drier
riders,derris
rides,dries
rife,fire
rifle,flier,lifer
rifles,lifers,fliers
rigged,digger
right,girth
rile,lier
ring,grin
rings,grins
ringside,residing
rinse,resin
ripe,pier
risen,resin,rinse
risk,kris
rob,bro,orb
robbin,ribbon
robbins,ribbons
robe,bore
robs,bros,orbs
rock,cork
rocker,corker
rocks,corks
rocky,corky
rode,redo,doer
rodman,random
rogues,grouse
role,lore
roles,loser
rom,mor
roman,manor
romp,prom
rooms,moors
roots,roost
rope,pore
roped,pedro
ropes,poser,pores,prose
rose,eros
rosin,irons
roster,resort
rot,ort
roto,root
rouge,rogue
rouse,euros
rousted,detours
route,outer
routed,detour
rubies,busier,buries,bruise
ruby,bury
rugged,grudge
rule,lure
ruled,lured
rules,lures
ruling,luring
rumble,lumber
runes,nurse
rustle,result,luster
ruth,hurt
rya,ray
sabe,base
saber,bears
sabin,basin
sacred,cedars
sad,ads
safer,fears
sage,ages
said,aids,dais
sail,ails
sailed,ladies,ideals
sal,als,las
sale,ales
salesmen,lameness,nameless
salient,entails
saline,aliens
salon,loans
salt,last
salted,deltas,lasted
same,mesa
sanction,contains
sap,pas
saps,pass
sarge,gears,rages
satin,saint
satyr,artsy
sauce,cause
scab,cabs
scale,laces
scalp,clasp
scam,cams
scamp,camps
scan,cans
scar,cars
scare,acres,races,cares
scared,sacred,cedars
scares,caress
scarier,carries
scarlet,cartels
scars,crass
scat,cast,cats,acts
scent,cents
scented,descent
scepter,respect
scone,cones
scot,cots,cost
scots,costs
scow,cows
scrap,craps
screw,crews
scuff,cuffs
seal,ales,sale
sealed,leased
seals,sales
seam,same,mesa
sear,arse,ears
search,chaser,arches
seared,erased,reseda
seat,eats,east
seats,asset
section,notices
sector,escort,corset
sectors,escorts
secure,rescue,recuse
secured,rescued,reduces
securing,rescuing
sedate,seated
seduce,deuces
seep,pees
seldom,models
selfish,hisself
seminar,marines,remains
send,ends
sending,endings
sendoff,offends
senora,reason
sent,nest
ser,res,ers
sera,arse,sear,ears
serpent,present
seven,evens
sever,serve
several,reveals
severe,reeves
severed,deserve
sewn,news
sexist,exists
sha,ash,has
shack,hacks
shad,dash
shade,heads,hades
shading,dashing
shag,hags
shah,hash
shale,leash,heals
shall,halls
sham,mash,hams
shamed,mashed
shank,hanks
shape,heaps,phase
shaped,phased
shapes,phases
shaping,phasing
share,hears
shared,dasher
shares,rashes
sharing,garnish
sharp,harps
shat,hats,hast
shear,hears,share
shelf,flesh
shell,hells
shill,hills
shingle,english
ship,hips
shit,hits
shock,hocks
shoe,hoes,hose
shoes,hoses
shook,hooks
shooter,reshoot,hooters
shooters,reshoots
shop,hops
shore,horse
shores,horses
shorten,hornets
shot,hots,host
shotgun,gunshot
shotguns,gunshots
shots,hosts
show,hows
shred,herds
shriek,hikers
shrub,brush
shun,huns
shut,huts
side,dies
sierra,raiser
sift,fist,fits
signaled,dealings
signed,design
signore,ignores
silence,license
silenced,licensed
silences,licenses
silent,listen,enlist
sill,ills
silver,livers
sim,mis
sims,miss
sin,ins
sing,sign
singed,design,signed
singer,reigns,resign
singing,signing
single,ingles
sings,signs
sink,kins
sip,pis,psi
sire,rise
siren,resin,risen,rinse
sister,resist
sit,its
skid,disk,kids
skids,disks
skies,sikes
skill,kills
skin,sink,kins
skins,sinks
skis,kiss
slack,lacks
slander,landers
slap,laps,pals
slashed,hassled
slashing,hassling
slate,least
slated,salted,deltas,lasted
slater,alerts,alters
slaw,laws
slay,lays
slayed,delays
slayer,layers
sleep,peels
sleepers,peerless
slept,pelts
sleuth,hustle
slicer,relics
slick,licks
slid,lids
slide,sidle
slight,lights
slighted,delights
slime,miles,limes
slinging,singling
slink,links
slip,lips
slipper,ripples
slit,list
sliver,silver,livers
slope,poles
slot,lost,lots
slow,lows,owls
slower,lowers
slung,lungs
slut,lust
sluts,lusts
small,malls
smartest,mattress
smelt,melts
smile,slime,limes,miles
smiled,misled
smite,items,mites
smitten,mittens
smock,mocks
smother,mothers
smug,gums,mugs
snag,sang
snap,naps,pans
snatch,chants
sneak,snake
sneaks,snakes
snip,pins
snipe,penis,pines
snore,senor
snores,sensor
snorted,rodents
snow,owns
snub,buns
snug,guns
soak,oaks
soar,oars
soared,adores
soaring,signora
sobbing,gibbons
sober,robes
sobs,boss
sod,dos
softer,foster,forest
soil,oils
sold,olds
sole,lose
solemn,melons
soles,loses
solicit,colitis
solid,idols
solo,loos
solve,loves
son,nos
sonar,arson
soothing,shooting
sop,ops
sore,rose,eros
sorel,roles,loser
sores,roses
sort,rots
soup,opus
sour,ours
source,course
sources,courses
south,shout
sown,owns,snow
spa,sap,pas
space,paces
spades,passed
span,snap,naps,pans
spandex,expands
spans,snaps
spare,rapes
spared,drapes
spark,parks
spas,saps,pass
spat,past
spate,paste
speak,peaks
spear,spare,rapes
spears,passer
speck,pecks
specter,respect,scepter
spectre,respect,specter,scepter
spectrum,crumpets
speedo,depose
spelt,slept,pelts
sphere,herpes
spiel,piles
spiking,pigskin
spill,pills
spin,snip,pins
spinal,plains
spine,snipe,penis,pines
spit,pits
splatter,platters
spoke,pokes
spool,loops,pools
spoon,snoop
spooning,snooping
sport,ports
spot,pots,post
spots,posts
spotter,protest
spotters,protests
spray,prays
spread,spared,drapes
spree,peers
sprint,prints
sprite,priest
sprouted,proudest
spun,puns
spunk,punks
squeal,equals
sri,sir
stab,bats
stage,gates
stain,satin,saint
stained,instead
stains,saints
stake,skate
staked,skated
stakes,skates
staking,skating
stale,least,slate
stang,angst,gnats
staple,plates,petals
stapler,plaster
star,arts,rats
stare,rates
staring,ratings
starlet,rattles
starter,restart
startle,rattles,starlet
stasis,assist
statue,astute
stead,dates
steady,stayed
steak,stake,skate
steaks,stakes,skates
steal,stale,least,slate
stealer,relates
stealing,genitals
steam,mates,meats
steed,deets
steel,sleet
steer,reset,ester
steno,notes
step,pets,pest
steps,pests
stern,rents
steroid,editors
stifle,itself
stifler,filters
stinger,resting
stone,notes,steno
stop,spot,pots,post
stops,posts,spots
stored,sorted
storing,sorting
strait,artist
straits,artists
stranded,darndest
strap,parts
stray,satyr,artsy
streak,skater
streaks,skaters
stream,master
streams,masters
street,retest
stressed,desserts
stripe,sprite,priest
stripes,priests,persist
strobe,sorbet
stub,bust,buts
stubs,busts
stud,dust
study,dusty
stun,nuts
stunted,student
sub,bus
sublet,bluest,bustle
subtle,bluest,sublet,bustle
sued,dues
suited,duties
sums,muss
sung,guns,snug
sup,pus
super,purse
supreme,presume
sure,ruse
surf,furs
swap,paws
swede,sewed
tab,bat
tables,stable
tablet,battle
tabs,stab,bats
tach,chat
tacit,attic
tacks,stack
taco,coat
tacos,ascot,coast,coats,costa
tae,eta,ate,eat
tag,gat
tagged,gadget
tags,stag
tailed,detail
tailor,rialto
takers,skater,streak
takes,stake,steak,skate
tale,late
talent,latent
tales,stale,steal,least,slate
talks,stalk
tame,mate,meat,meta
tampons,postman
tan,ant
tap,pat
tapas,pasta
tape,peat,pate
taped,adept
tapes,spate,paste
tar,art,rat
tarp,part
tarragon,arrogant
tarred,retard
tarts,start
tas,sat
taste,state
tasted,stated
tastes,states
tasting,stating
tat,att
taunted,attuned
tea,tae,eta,ate,eat
teach,cheat
teacher,cheater
teachers,cheaters
teaching,cheating
teal,tale,late
team,tame,mate,meat,meta
teams,mates,steam,meats
tear,rate
tearing,granite
tears,rates,stare
teas,eats,east,seat
teased,sedate,seated
teasing,seating
tedious,outside
teeming,meeting
teenager,generate
ten,net
tend,dent
tender,rented
tends,dents
tenors,stoner
tens,nest,sent
tense,teens
terrace,caterer
tested,detest
testing,setting
